timestamp,action,side,price,quantity,order_id
2025-06-11 17:27:00+00:00,buy,yes,0.73,1,5
2025-06-11 19:50:00+00:00,sell,yes,0.79,2,11
2025-06-11 20:00:00+00:00,buy,yes,0.64,2,12
2025-06-11 20:34:00+00:00,sell,yes,0.6,1,18
2025-06-11 20:37:00+00:00,sell,yes,0.6,1,18
2025-06-11 20:46:00+00:00,sell,yes,0.61,1,22
2025-06-11 20:51:00+00:00,sell,yes,0.64,1,24
2025-06-11 20:54:00+00:00,sell,yes,0.68,1,26
2025-06-11 20:57:00+00:00,sell,yes,0.68,1,27
2025-06-11 21:04:00+00:00,sell,yes,0.68,1,30
2025-06-11 22:26:00+00:00,sell,yes,0.58,1,36
2025-06-11 22:50:00+00:00,sell,yes,0.64,1,40
2025-06-11 23:18:00+00:00,sell,yes,0.58,1,44
2025-06-12 01:19:00+00:00,sell,yes,0.64,1,49
2025-06-12 02:16:00+00:00,buy,yes,0.71,10,50
2025-06-12 02:48:00+00:00,sell,yes,0.66,1,55
2025-06-12 04:00:00+00:00,sell,yes,0.66,1,58
2025-06-12 05:49:00+00:00,sell,yes,0.61,1,63
2025-06-12 12:39:00+00:00,sell,yes,0.61,1,67
2025-06-12 12:57:00+00:00,sell,yes,0.59,1,68
2025-06-13 00:40:00+00:00,sell,yes,0.76,1,98
2025-07-07 02:26:00+00:00,sell,yes,0.62,1,418
2025-07-07 02:27:00+00:00,sell,yes,0.65,1,420
2025-07-14 17:07:00+00:00,sell,yes,0.77,1,598
2025-07-14 17:10:00+00:00,buy,yes,0.77,5,599
2025-07-14 19:19:00+00:00,buy,yes,0.63,5,620
2025-07-14 19:31:00+00:00,sell,yes,0.64,2,623
2025-07-14 19:57:00+00:00,sell,yes,0.78,1,627
2025-07-14 20:21:00+00:00,sell,yes,0.77,1,631
2025-07-14 21:06:00+00:00,sell,yes,0.75,1,639
2025-07-14 21:12:00+00:00,buy,yes,0.7,5,640
2025-07-14 21:41:00+00:00,sell,yes,0.64,2,649
2025-07-14 23:23:00+00:00,sell,yes,0.71,1,677
2025-07-14 23:49:00+00:00,buy,yes,0.67,3,678
2025-07-15 00:35:00+00:00,sell,yes,0.67,2,687
2025-07-15 03:28:00+00:00,sell,yes,0.79,1,722
2025-07-15 03:38:00+00:00,buy,yes,0.77,3,727
2025-07-15 03:56:00+00:00,sell,yes,0.77,2,734
2025-07-15 04:49:00+00:00,sell,yes,0.79,1,754
2025-07-15 05:48:00+00:00,sell,yes,0.84,1,772
2025-07-15 05:58:00+00:00,buy,yes,0.83,4,775
2025-07-15 06:07:00+00:00,sell,yes,0.83,2,779
2025-07-15 06:19:00+00:00,sell,yes,0.82,1,781
2025-07-15 06:25:00+00:00,sell,yes,0.85,1,783
2025-07-15 06:51:00+00:00,buy,yes,0.85,4,788
2025-07-15 12:01:00+00:00,buy,yes,0.78,1,794
2025-07-15 12:04:00+00:00,buy,yes,0.77,1,795
2025-07-15 12:07:00+00:00,sell,yes,0.77,4,798
2025-07-15 12:18:00+00:00,sell,yes,0.8,1,802
2025-07-15 12:19:00+00:00,sell,yes,0.83,1,804
2025-07-15 12:21:00+00:00,buy,yes,0.78,4,805
2025-07-15 12:27:00+00:00,sell,yes,0.81,2,810
